<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTSX.ETH/USD;60;20180109;040000;1137.0100000;1174.2200000;1135.0000000;1174.2200000;5056
BTSX.ETH/USD;60;20180109;050000;1174.2100000;1174.3900000;1151.4900000;1169.8900000;4658
BTSX.ETH/USD;60;20180109;060000;1169.8900000;1188.0000000;1163.0000000;1187.9900000;5414
BTSX.ETH/USD;60;20180109;070000;1188.0000000;1205.0000000;1187.9900000;1199.1600000;8281
BTSX.ETH/USD;60;20180109;080000;1199.1600000;1211.8900000;1197.3700000;1209.9600000;6006
BTSX.ETH/USD;60;20180109;090000;1209.9600000;1213.0000000;1167.0400000;1189.0000000;6030
BTSX.ETH/USD;60;20180109;100000;1189.0000000;1198.9900000;1180.7000000;1198.8500000;3943
BTSX.ETH/USD;60;20180109;110000;1198.8600000;1210.0000000;1198.8400000;1209.5100000;2803
BTSX.ETH/USD;60;20180109;120000;1209.5100000;1244.9800000;1208.5200000;1233.4000000;5380
BTSX.ETH/USD;60;20180109;130000;1233.4100000;1242.0000000;1216.0300000;1219.0000000;3629
BTSX.ETH/USD;60;20180109;140000;1219.0000000;1224.6100000;1167.0000000;1196.7000000;5411
BTSX.ETH/USD;60;20180109;150000;1196.7000000;1224.0000000;1193.0000000;1215.0200000;3728
BTSX.ETH/USD;60;20180109;160000;1215.0200000;1222.1900000;1190.0200000;1205.9900000;4255
BTSX.ETH/USD;60;20180109;170000;1206.0000000;1210.9400000;1119.0000000;1132.9000000;9895
BTSX.ETH/USD;60;20180109;180000;1133.0000000;1198.4800000;1133.0000000;1197.0300000;9845
BTSX.ETH/USD;60;20180109;190000;1197.0300000;1215.5900000;1184.5000000;1196.9800000;6502
BTSX.ETH/USD;60;20180109;200000;1196.9900000;1213.0000000;1191.2000000;1209.1300000;5267
BTSX.ETH/USD;60;20180109;210000;1209.1300000;1213.0000000;1200.0100000;1206.5800000;4849
BTSX.ETH/USD;60;20180109;220000;1206.5700000;1212.9800000;1200.0100000;1204.5100000;5398
BTSX.ETH/USD;60;20180109;230000;1204.1000000;1210.0000000;1194.6200000;1209.9900000;3821
BTSX.ETH/USD;60;20180110;000000;1210.0000000;1239.6900000;1210.0000000;1234.0000000;8029
BTSX.ETH/USD;60;20180110;010000;1234.0100000;1247.9900000;1227.0000000;1246.9900000;8427
BTSX.ETH/USD;60;20180110;020000;1246.9900000;1297.0000000;1246.9900000;1263.7600000;16999
BTSX.ETH/USD;60;20180110;030000;1263.7600000;1297.5800000;1262.8300000;1290.0100000;10136
BTSX.ETH/USD;60;20180110;040000;1290.7300000;1291.9700000;1244.0100000;1267.9900000;10423
BTSX.ETH/USD;60;20180110;050000;1267.9900000;1285.0000000;1265.0000000;1265.1100000;6585
BTSX.ETH/USD;60;20180110;060000;1265.1200000;1295.7000000;1265.0000000;1295.7000000;7701
BTSX.ETH/USD;60;20180110;070000;1295.7000000;1343.9100000;1295.7000000;1342.1900000;18255
BTSX.ETH/USD;60;20180110;080000;1342.1900000;1386.7400000;1312.4300000;1382.9500000;22764
BTSX.ETH/USD;60;20180110;090000;1382.9500000;1383.0000000;1335.0000000;1356.6900000;11417
BTSX.ETH/USD;60;20180110;100000;1356.7000000;1378.8000000;1321.0100000;1361.0000000;8261
BTSX.ETH/USD;60;20180110;110000;1361.0000000;1367.0500000;1316.8300000;1323.4200000;6950
BTSX.ETH/USD;60;20180110;120000;1323.0900000;1324.0000000;1262.0000000;1310.0000000;12424
BTSX.ETH/USD;60;20180110;130000;1309.3600000;1322.8900000;1265.3000000;1287.0800000;6208
BTSX.ETH/USD;60;20180110;140000;1287.0900000;1311.2000000;1275.0300000;1289.3000000;5027
BTSX.ETH/USD;60;20180110;150000;1289.2800000;1355.0100000;1275.3100000;1349.0000000;4867
BTSX.ETH/USD;60;20180110;160000;1342.5400000;1361.9900000;1323.0000000;1323.0100000;5043
BTSX.ETH/USD;60;20180110;170000;1323.0000000;1358.0000000;1323.0000000;1333.0100000;6242
BTSX.ETH/USD;60;20180110;180000;1333.0100000;1345.9400000;1286.0000000;1322.8200000;9108
BTSX.ETH/USD;60;20180110;190000;1322.4700000;1349.9900000;1320.0000000;1340.8100000;8579
BTSX.ETH/USD;60;20180110;200000;1342.1000000;1345.0000000;1295.1500000;1317.9800000;7435
BTSX.ETH/USD;60;20180110;210000;1317.9700000;1338.9000000;1291.5000000;1326.2200000;6525
BTSX.ETH/USD;60;20180110;220000;1326.2300000;1328.8500000;1268.6600000;1288.0000000;7470
BTSX.ETH/USD;60;20180110;230000;1287.9900000;1308.0000000;1270.2000000;1304.3700000;8459
BTSX.ETH/USD;60;20180111;000000;1304.3800000;1304.3800000;1284.9900000;1293.0100000;4783
BTSX.ETH/USD;60;20180111;010000;1293.0100000;1304.9900000;1267.0000000;1267.0000000;6269
BTSX.ETH/USD;60;20180111;020000;1267.0000000;1267.0100000;1207.6100000;1244.2700000;14938
BTSX.ETH/USD;60;20180111;030000;1241.4100000;1250.3800000;1210.0000000;1246.9400000;9670
BTSX.ETH/USD;60;20180111;040000;1246.9500000;1335.0000000;1246.9500000;1332.9900000;13222
BTSX.ETH/USD;60;20180111;050000;1333.0000000;1333.0000000;1281.7200000;1295.7900000;7347
BTSX.ETH/USD;60;20180111;060000;1295.7900000;1309.9000000;1285.5000000;1295.9400000;4751
BTSX.ETH/USD;60;20180111;070000;1295.9400000;1295.9500000;1135.0100000;1177.8500000;16424
BTSX.ETH/USD;60;20180111;080000;1177.8600000;1223.2300000;1111.0000000;1192.9400000;31886
BTSX.ETH/USD;60;20180111;090000;1192.9300000;1236.0000000;1141.1500000;1152.9000000;16171
